,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,clusters,cluster
550,81.0,5.194,0.595,0.414,0.515,0.121,0.105,0.337,2,dark purple
551,92.0,5.132,0.688,0.261,0.403,0.146,0.139,0.312,2,dark purple
552,80.0,5.269,0.727,0.673,0.402,0.235,0.315,0.124,2,dark purple
553,75.0,5.472,0.652,0.81,0.424,0.334,0.216,0.113,2,dark purple
554,67.0,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2,dark purple
555,108.0,4.715,0.599,0.926,0.66,0.245,0.129,0.113,0,pink
556,108.0,4.754,0.67,0.716,0.568,0.177,0.106,0.112,0,pink
557,103.0,4.775,0.716,1.156,0.566,0.255,0.114,0.089,2,dark purple
558,104.0,4.743,0.642,1.217,0.602,0.266,0.086,0.076,2,dark purple
559,110.0,4.696,0.657,1.247,0.672,0.225,0.103,0.066,0,pink
560,25.0,6.786,1.064,1.199,0.797,0.542,0.093,0.244,1,purple
561,25.0,6.701,1.183,0.989,0.708,0.489,0.084,0.242,1,purple
562,30.0,6.452,1.234,1.373,0.706,0.55,0.211,0.071,1,purple
563,27.0,6.43,1.112,1.438,0.759,0.597,0.125,0.063,1,purple
564,31.0,6.321,1.149,1.442,0.91,0.516,0.109,0.054,1,purple
565,53.0,5.878,0.76,1.305,0.661,0.539,0.082,0.342,2,dark purple
566,70.0,5.538,0.894,1.111,0.583,0.462,0.074,0.253,2,dark purple
567,70.0,5.493,0.933,1.507,0.579,0.474,0.224,0.091,2,dark purple
568,64.0,5.681,0.835,1.522,0.615,0.541,0.162,0.074,2,dark purple
569,63.0,5.743,0.855,1.475,0.777,0.514,0.184,0.08,2,dark purple
570,58.0,5.824,0.9,0.975,0.73,0.415,0.06,0.15,2,dark purple
571,64.0,5.743,0.996,0.813,0.63,0.375,0.053,0.145,2,dark purple
572,63.0,5.715,1.035,1.219,0.63,0.45,0.127,0.047,2,dark purple
573,65.0,5.663,0.934,1.249,0.674,0.53,0.092,0.034,2,dark purple
574,65.0,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2,dark purple
575,90.0,5.073,0.705,1.035,0.581,0.625,0.123,0.25,2,dark purple
576,82.0,5.279,0.812,0.879,0.47,0.549,0.118,0.217,2,dark purple
577,72.0,5.43,0.858,1.254,0.468,0.585,0.194,0.099,2,dark purple
578,71.0,5.524,0.775,1.312,0.513,0.643,0.12,0.105,2,dark purple
579,69.0,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2,dark purple
580,60.0,5.791,1.126,1.279,0.779,0.531,0.042,0.168,2,dark purple
581,57.0,5.835,1.246,1.047,0.691,0.452,0.055,0.144,2,dark purple
582,46.0,5.973,1.292,1.446,0.699,0.52,0.158,0.059,1,purple
583,42.0,6.123,1.176,1.448,0.781,0.546,0.108,0.064,1,purple
584,40.0,6.182,1.206,1.438,0.884,0.483,0.117,0.05,1,purple
585,88.0,5.102,1.16,1.139,0.875,0.515,0.011,0.137,2,dark purple
586,94.0,5.123,1.276,0.944,0.794,0.447,0.015,0.117,2,dark purple
587,89.0,5.195,1.315,1.367,0.796,0.498,0.095,0.016,2,dark purple
588,77.0,5.41,1.188,1.429,0.884,0.562,0.055,0.017,2,dark purple
589,66.0,5.693,1.221,1.431,0.999,0.508,0.047,0.025,2,dark purple
595,28.0,6.611,1.69,1.079,0.797,0.64,0.522,0.326,1,purple
596,36.0,6.375,1.824,0.88,0.717,0.567,0.48,0.324,1,purple
597,35.0,6.375,1.871,1.274,0.71,0.604,0.33,0.439,1,purple
598,32.0,6.374,1.649,1.303,0.748,0.654,0.256,0.171,1,purple
599,29.0,6.374,1.684,1.313,0.871,0.555,0.22,0.167,1,purple
600,86.0,5.124,1.043,0.886,0.769,0.351,0.006,0.137,2,dark purple
601,71.0,5.528,1.17,0.728,0.676,0.367,0.007,0.129,2,dark purple
602,57.0,5.825,1.218,1.15,0.685,0.457,0.134,0.004,2,dark purple
603,52.0,5.945,1.116,1.219,0.726,0.528,0.088,0.001,2,dark purple
604,48.0,6.07,1.162,1.232,0.825,0.462,0.083,0.005,1,purple
605,64.0,5.716,1.138,1.236,0.669,0.367,0.03,0.002,2,dark purple
606,56.0,5.856,1.232,1.053,0.59,0.327,0.036,0.027,2,dark purple
607,49.0,5.963,1.282,1.469,0.547,0.374,0.052,0.033,1,purple
608,59.0,5.81,1.151,1.479,0.599,0.399,0.065,0.025,2,dark purple
609,68.0,5.648,1.183,1.452,0.726,0.334,0.082,0.031,2,dark purple
